episode,score,avg_score,loss,epsilon
373,1,3.38,6.1757,0.1542
374,1,3.34,11.5413,0.1534
375,0,3.28,5.4151,0.1526
376,6,3.34,6.8747,0.1519
377,2,3.34,7.5999,0.1511
378,9,3.5,5.9649,0.1504
379,2,3.52,10.0536,0.1496
380,4,3.5,5.8924,0.1489
381,4,3.58,6.3766,0.1481
382,4,3.56,5.3894,0.1474
383,0,3.44,6.401,0.1466
384,2,3.46,8.0184,0.1459
385,3,3.46,5.9241,0.1452
386,0,3.46,4.9819,0.1444
387,10,3.58,5.912,0.1437
388,8,3.56,6.353,0.143
389,4,3.52,6.3552,0.1423
390,3,3.48,5.2122,0.1416
391,9,3.6,6.5078,0.1409
392,0,3.56,4.9789,0.1402
393,1,3.54,4.3,0.1395
394,7,3.56,6.7345,0.1388
395,7,3.46,7.5703,0.1381
396,2,3.36,10.7423,0.1374
397,4,3.42,6.7396,0.1367
398,6,3.44,6.2969,0.136
399,2,3.46,5.0431,0.1353
400,1,3.48,8.2385,0.1347
401,1,3.5,9.3494,0.134
402,3,3.5,8.3704,0.1333
403,0,3.34,3.9981,0.1326
404,0,3.18,4.2358,0.132
405,2,3.2,4.8923,0.1313
406,2,3.18,6.8828,0.1307
407,6,3.28,6.74,0.13
408,0,3.24,4.5356,0.1294
409,10,3.4,6.4105,0.1287
410,3,3.38,9.598,0.1281
411,7,3.4,6.6475,0.1274
412,6,3.52,8.9262,0.1268
413,6,3.56,6.3584,0.1262
414,1,3.4,5.0498,0.1255
415,3,3.44,6.7125,0.1249
416,1,3.46,12.1498,0.1243
417,3,3.38,7.952,0.1237
418,9,3.54,6.3416,0.123
419,11,3.7,6.5007,0.1224
420,5,3.7,7.162,0.1218
421,0,3.68,3.8392,0.1212
422,5,3.72,6.1129,0.1206
423,15,4.0,6.8874,0.12
424,9,4.16,5.4021,0.1194
425,8,4.32,7.4304,0.1188
426,2,4.24,7.015,0.1182
427,2,4.24,4.7069,0.1176
428,3,4.12,6.7117,0.117
429,7,4.22,6.2282,0.1164
430,2,4.18,5.1652,0.1159
431,6,4.22,8.168,0.1153
432,6,4.26,7.2247,0.1147
433,4,4.34,6.2574,0.1141
434,1,4.32,7.0751,0.1136
435,0,4.26,6.9281,0.113
436,3,4.32,6.6624,0.1124
437,1,4.14,7.7724,0.1119
438,6,4.1,9.1101,0.1113
439,5,4.12,5.9346,0.1107
440,0,4.06,4.9893,0.1102
441,0,3.88,4.6527,0.1096
442,2,3.92,6.8719,0.1091
443,4,3.98,7.7611,0.1085
444,12,4.08,7.4575,0.108
445,1,3.96,4.6398,0.1075
446,0,3.92,5.0598,0.1069
447,7,3.98,7.2821,0.1064
448,5,3.96,8.5631,0.1059
449,6,4.04,8.2699,0.1053
450,8,4.18,6.1439,0.1048
451,4,4.24,8.2624,0.1043
452,14,4.46,6.9646,0.1038
453,1,4.48,9.3728,0.1032
454,9,4.66,7.1981,0.1027
455,4,4.7,7.337,0.1022
456,24,5.14,8.9349,0.1017
457,3,5.08,9.6262,0.1012
458,2,5.12,5.3933,0.1007
459,11,5.14,9.0692,0.1002
460,14,5.36,8.3923,0.0997
461,12,5.46,8.6258,0.0992
462,4,5.42,9.5497,0.0987
463,6,5.42,9.1144,0.0982
464,7,5.54,9.1947,0.0977
465,10,5.68,9.3265,0.0972
466,0,5.66,16.4048,0.0967
467,2,5.64,5.7237,0.0962
468,7,5.6,9.6887,0.0958
469,7,5.52,8.6249,0.0953
470,15,5.72,11.6228,0.0948
471,5,5.82,14.8278,0.0943
472,0,5.72,4.9825,0.0939
473,1,5.44,11.3719,0.0934
474,12,5.5,10.5222,0.0929
475,6,5.46,9.3219,0.0925
476,12,5.66,11.0001,0.092
477,6,5.74,9.3083,0.0915
478,2,5.72,18.8788,0.0911
479,8,5.74,11.4494,0.0906
480,9,5.88,10.4959,0.0902
481,3,5.82,6.0482,0.0897
482,4,5.78,12.9429,0.0893
