episode,score,avg_score,loss,epsilon
440,9,13.96,18.4541,0.0078
441,18,14.02,17.3033,0.0078
442,13,13.9,16.3712,0.0078
443,11,13.74,19.2077,0.0078
444,23,14.06,16.6055,0.0078
445,18,14.4,18.8094,0.0078
446,11,14.36,18.6101,0.0078
447,19,14.42,17.9692,0.0078
448,15,14.6,19.5459,0.0078
449,21,14.62,19.2549,0.0078
450,9,14.6,18.6261,0.0078
451,13,14.56,18.8716,0.0078
452,21,14.7,17.5487,0.0078
453,15,14.68,16.6894,0.0078
454,6,14.44,15.5693,0.0078
455,14,14.28,20.4091,0.0078
456,11,14.12,16.0802,0.0078
457,9,14.28,18.8341,0.0078
458,9,14.26,15.6642,0.0078
459,4,13.74,13.8867,0.0078
460,9,13.58,18.7412,0.0078
461,13,13.42,17.7768,0.0078
462,19,13.4,17.3563,0.0078
463,12,13.58,17.9665,0.0078
464,11,13.24,17.2961,0.0078
465,24,13.58,19.4336,0.0078
466,2,13.28,23.318,0.0078
467,8,13.28,16.6881,0.0078
468,17,13.56,19.8598,0.0078
469,13,13.5,18.7072,0.0078
470,24,13.64,18.9207,0.0078
471,14,13.5,21.678,0.0078
472,0,13.32,8.4415,0.0078
473,12,13.4,16.4726,0.0078
474,17,13.5,20.6856,0.0078
475,0,12.96,35.5599,0.0078
476,9,12.9,21.4163,0.0078
477,21,13.06,19.5927,0.0078
478,24,13.2,19.4178,0.0078
479,7,13.08,22.4091,0.0078
480,22,13.32,19.0551,0.0078
481,15,13.26,19.1335,0.0078
482,7,13.28,20.3021,0.0078
483,15,13.14,16.4265,0.0078
484,3,13.06,23.5674,0.0078
485,6,13.06,20.0269,0.0078
486,19,13.22,23.0748,0.0078
487,8,12.9,22.2625,0.0078
488,9,12.92,22.6842,0.0078
489,22,13.02,20.4765,0.0078
490,9,13.02,21.3179,0.0078
491,9,12.84,27.0162,0.0078
492,11,12.8,18.5673,0.0078
493,10,12.78,23.1054,0.0078
494,18,12.68,21.1931,0.0078
495,9,12.5,25.1075,0.0078
496,7,12.42,23.1863,0.0078
497,12,12.28,21.4718,0.0078
498,1,12.0,14.7562,0.0078
499,15,11.88,22.9997,0.0078
500,5,11.8,22.0777,0.0078
501,24,12.02,20.4803,0.0078
502,22,12.04,20.8023,0.0078
503,8,11.9,23.5546,0.0078
504,28,12.34,22.6199,0.0078
505,19,12.44,20.9748,0.0078
506,12,12.46,27.6742,0.0078
507,11,12.5,21.854,0.0078
508,10,12.52,24.6682,0.0078
509,19,12.82,20.1057,0.0078
510,9,12.82,28.0195,0.0078
511,12,12.8,18.2748,0.0078
512,18,12.78,23.9146,0.0078
513,18,12.9,24.9888,0.0078
514,16,13.0,25.1797,0.0078
515,11,12.74,22.9759,0.0078
516,22,13.14,23.0566,0.0078
517,27,13.52,22.9012,0.0078
518,23,13.64,24.9643,0.0078
519,19,13.76,25.422,0.0078
520,1,13.3,27.6823,0.0078
521,16,13.34,24.7701,0.0078
522,6,13.46,24.075,0.0078
523,6,13.34,21.7385,0.0078
524,13,13.26,24.6469,0.0078
525,17,13.6,25.9957,0.0078
526,15,13.72,23.3249,0.0078
527,7,13.44,27.5775,0.0078
528,20,13.36,24.5211,0.0078
529,12,13.46,26.711,0.0078
530,9,13.2,24.9866,0.0078
531,25,13.4,24.0251,0.0078
532,22,13.7,26.0035,0.0078
533,10,13.6,23.8298,0.0078
534,9,13.72,25.2673,0.0078
535,5,13.7,24.4029,0.0078
536,4,13.4,21.0748,0.0078
537,13,13.5,24.2196,0.0078
538,9,13.5,22.9101,0.0078
539,10,13.26,27.3741,0.0078
540,11,13.3,25.3178,0.0078
541,28,13.68,24.5638,0.0078
542,19,13.84,27.2862,0.0078
543,9,13.82,28.1532,0.0078
544,10,13.66,26.9117,0.0078
545,20,13.88,22.8224,0.0078
546,12,13.98,23.4862,0.0078
547,7,13.88,23.7843,0.0078
548,28,14.42,23.3384,0.0078
549,11,14.34,21.9818,0.0078
550,17,14.58,22.3454,0.0078
551,16,14.42,25.5843,0.0078
552,13,14.24,26.8864,0.0078
553,3,14.14,25.5272,0.0078
554,10,13.78,25.2522,0.0078
555,18,13.76,24.8637,0.0078
556,9,13.7,24.5464,0.0078
557,6,13.6,21.627,0.0078
558,15,13.7,21.2479,0.0078
559,10,13.52,25.8596,0.0078
560,13,13.6,24.6167,0.0078
561,25,13.86,24.5437,0.0078
562,18,13.86,26.9507,0.0078
563,28,14.06,27.8147,0.0078
564,10,13.94,22.8788,0.0078
565,13,13.98,26.0432,0.0078
566,15,13.84,25.5541,0.0078
